epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,740.817,3.90553,2.64617,1.40075,4.31314,0.01084,15.1702,0.25441,0.1456,0.09483,0.02995,0,0,0,0,3.00501,0,1.76744,3.01663,0.01019,0,0.00998913,0.00332971,0.00998913,0.00332971,0.00998913,0.00332971,0.00998913,0.00332971
2,1245.51,2.92754,1.22872,1.17749,2.36908,0.00642,3.74405,0.53506,0.29633,0.3063,0.12995,0,0,0,0,2.5455,0,2.56266,1.92512,0.00752,0,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708
3,1694.66,2.6878,0.94915,0.98965,1.90182,0.00555,2.55702,0.61815,0.35335,0.3842,0.17635,0,0,0,0,2.38924,0,2.75717,1.67129,0.00672,0,0.0293953,0.00979845,0.0293953,0.00979845,0.0293953,0.00979845,0.0293953,0.00979845
4,2118.26,2.54627,0.81101,0.92176,1.70243,0.0051,1.78857,0.67708,0.40347,0.45182,0.21447,0,0,0,0,2.26503,0,2.75097,1.44048,0.00621,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2549.62,2.47516,0.74468,0.87293,1.58497,0.00473,1.1842,0.70586,0.42855,0.4816,0.23062,0,0,0,0,2.20377,0,2.84894,1.36731,0.00603,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2976.17,2.39215,0.6915,0.84218,1.50313,0.0046,0.81337,0.71286,0.45207,0.50732,0.24905,0,0,0,0,2.14475,0,3.14511,1.29172,0.00577,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3403.37,2.35211,0.63614,0.8071,1.44851,0.00435,0.54885,0.72444,0.45925,0.51633,0.25392,0,0,0,0,2.12299,0,3.40889,1.31664,0.00565,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3830.44,2.32611,0.60888,0.79354,1.41644,0.00431,0.42707,0.73667,0.4688,0.52913,0.25916,0,0,0,0,2.11663,0,3.50548,1.26065,0.00558,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4259.24,2.3073,0.59675,0.77692,1.40094,0.00419,0.33209,0.75632,0.47335,0.54344,0.27437,0,0,0,0,2.07122,0,3.66164,1.2074,0.00547,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4689.04,2.28237,0.578,0.76237,1.37284,0.00418,0.28671,0.75229,0.48356,0.55042,0.27934,0,0,0,0,2.06333,0,3.46271,1.18261,0.00542,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
