epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,759.215,2.50755,1.48125,1.31412,2.54045,0.0048,6.02151,0.63957,0.39906,0.43555,0.20681,0,0,0,0,2.15255,0,2.17681,1.5357,0.00561,0,0.00998913,0.00332971,0.00998913,0.00332971,0.00998913,0.00332971,0.00998913,0.00332971
2,1261.28,2.31946,0.82842,1.0376,1.59096,0.00414,2.68398,0.69506,0.44678,0.5026,0.2469,0,0,0,0,2.08944,0,2.64885,1.25625,0.00556,0,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708,0.0197912,0.00659708
3,1723.77,2.30326,0.74398,0.88682,1.46679,0.00417,1.95603,0.70528,0.43905,0.49583,0.24348,0,0,0,0,2.12605,0,2.65744,1.30488,0.00576,0,0.0293953,0.00979845,0.0293953,0.00979845,0.0293953,0.00979845,0.0293953,0.00979845
4,2175.82,2.29438,0.67998,0.83314,1.40523,0.00406,1.37941,0.72616,0.47303,0.53395,0.26376,0,0,0,0,2.06938,0,2.93932,1.21907,0.0054,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2636.65,2.24707,0.61942,0.79315,1.33429,0.00398,0.83953,0.74711,0.47953,0.54641,0.27077,0,0,0,0,2.05143,0,3.20487,1.19939,0.00533,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3148.01,2.22561,0.59666,0.77063,1.32085,0.00396,0.5989,0.7605,0.4895,0.55984,0.28276,0,0,0,0,2.01289,0,3.36469,1.16505,0.00517,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3578.02,2.20907,0.57778,0.76479,1.29772,0.00392,0.45713,0.75878,0.49228,0.56358,0.28566,0,0,0,0,1.99929,0,3.13092,1.16811,0.00512,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4008.81,2.18078,0.54137,0.74329,1.26062,0.00381,0.2964,0.76517,0.49681,0.57113,0.29176,0,0,0,0,2.00806,0,3.23558,1.11613,0.00506,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,4464.19,2.18966,0.53762,0.72712,1.26508,0.0038,0.25789,0.77919,0.5074,0.58261,0.29868,0,0,0,0,1.97494,0,3.46125,1.09161,0.005,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4928.87,2.18257,0.5353,0.73904,1.25533,0.00375,0.19835,0.76591,0.51478,0.58282,0.29856,0,0,0,0,1.97569,0,3.63621,1.10507,0.00503,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,5388.11,2.14335,0.52841,0.72301,1.21343,0.00378,0.16813,0.78726,0.51446,0.59167,0.30446,0,0,0,0,1.95404,0,3.72183,1.10113,0.00496,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5819.27,2.15342,0.51685,0.71842,1.22984,0.00376,0.1567,0.78559,0.51557,0.59425,0.30736,0,0,0,0,1.9544,0,3.67481,1.07611,0.00496,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,6259.47,2.14008,0.51574,0.70895,1.21606,0.00371,0.11418,0.78324,0.51516,0.59351,0.30818,0,0,0,0,1.96015,0,3.81636,1.08461,0.00495,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,6732.3,2.14465,0.50293,0.70543,1.19733,0.00365,0.11908,0.79273,0.52997,0.60735,0.31562,0,0,0,0,1.94094,0,3.89882,1.04242,0.00489,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,7201.03,2.12782,0.5017,0.69512,1.19213,0.00366,0.10864,0.78906,0.5273,0.60408,0.31363,0,0,0,0,1.94143,0,3.90939,1.04439,0.0049,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7654.4,2.12678,0.50037,0.70566,1.18402,0.0036,0.09704,0.8,0.5339,0.61388,0.3202,0,0,0,0,1.92651,0,3.93759,1.04784,0.00482,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
