epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.041,2.55989,1.64827,1.38373,1.87171,0.00484,6.4771,0.73912,0.4994,0.54862,0.25773,0,0,0,0,2.1423,0,1.7091,1.14167,0.00483,0,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858,0.00995575,0.00331858
2,206.53,2.18644,0.7387,1.19286,1.2125,0.00346,2.30947,0.75238,0.52809,0.57749,0.2797,0,0,0,0,2.07446,0,2.1127,1.11261,0.00487,0,0.0197582,0.00658606,0.0197582,0.00658606,0.0197582,0.00658606,0.0197582,0.00658606
3,296.885,2.19252,0.64118,0.90267,1.24886,0.00355,1.46181,0.71312,0.45074,0.49693,0.23625,0,0,0,0,2.21748,0,2.97316,1.34605,0.00543,0,0.0293626,0.00978754,0.0293626,0.00978754,0.0293626,0.00978754,0.0293626,0.00978754
4,392.961,2.21819,0.59141,0.81466,1.28809,0.00364,0.98721,0.74008,0.48111,0.53497,0.26409,0,0,0,0,2.14803,0,2.83831,1.24,0.00511,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,481.186,2.16067,0.54147,0.76752,1.23679,0.00352,0.44428,0.75738,0.49872,0.5559,0.27987,0,0,0,0,2.06145,0,2.87536,1.21015,0.00482,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,574.201,2.13933,0.51776,0.75873,1.21325,0.00352,0.28845,0.77876,0.52153,0.58378,0.29546,0,0,0,0,2.02645,0,2.90453,1.10403,0.00472,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,666.211,2.14795,0.4955,0.74968,1.19079,0.00344,0.14805,0.79941,0.53,0.59675,0.30125,0,0,0,0,2.00233,0,3.16109,1.09192,0.00448,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,754.545,2.10079,0.48623,0.73569,1.13796,0.00335,0.09822,0.79952,0.56193,0.62594,0.32624,0,0,0,0,1.95911,0,3.07477,1.00965,0.00432,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,843.357,2.09779,0.45703,0.70609,1.11863,0.00329,0.09617,0.8116,0.57291,0.64069,0.33358,0,0,0,0,1.93554,0,3.16403,0.99294,0.00426,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,935.672,2.05914,0.45566,0.71423,1.08716,0.00326,0.05727,0.8059,0.56602,0.63525,0.33035,0,0,0,0,1.92694,0,3.24645,1.03098,0.0042,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1035.38,2.08277,0.42615,0.68059,1.08967,0.00318,0.021,0.80209,0.57556,0.63919,0.33215,0,0,0,0,1.93097,0,3.96038,1.01561,0.00424,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1127.33,2.05926,0.44489,0.67757,1.05862,0.00314,0.04307,0.81913,0.57052,0.64104,0.3345,0,0,0,0,1.92399,0,3.59599,0.97704,0.00417,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1224.42,2.04618,0.41649,0.67346,1.06083,0.00312,0.01143,0.81452,0.5855,0.65006,0.34605,0,0,0,0,1.89504,0,3.97386,0.96159,0.00411,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1318,2.01719,0.40299,0.66671,1.03673,0.0031,0.01464,0.8326,0.58445,0.65586,0.34846,0,0,0,0,1.88817,0,3.76168,0.98635,0.00409,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1409.15,2.03247,0.4093,0.65558,1.04816,0.00307,0.01107,0.82151,0.58327,0.65469,0.34996,0,0,0,0,1.89211,0,4.04961,0.95156,0.00408,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1500.79,2.0203,0.418,0.65256,1.01492,0.00303,0.02521,0.82921,0.60465,0.67278,0.35804,0,0,0,0,1.87411,0,3.66005,0.91112,0.00404,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1589,2.00471,0.39112,0.63929,1.00909,0.00303,0.01429,0.83657,0.59973,0.67164,0.35898,0,0,0,0,1.86177,0,3.28996,0.92645,0.00396,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1677.78,2.0084,0.38883,0.64447,1.00531,0.00302,0.01356,0.83495,0.60626,0.67679,0.36035,0,0,0,0,1.86127,0,3.82659,0.91195,0.00398,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1766.87,2.00644,0.38761,0.63386,1.00131,0.00299,0.01566,0.8453,0.61104,0.6838,0.36399,0,0,0,0,1.84816,0,4.00091,0.91185,0.00391,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1855.02,1.97853,0.38409,0.63764,0.98441,0.00298,0.01198,0.83945,0.61328,0.68258,0.36345,0,0,0,0,1.84778,0,3.75883,0.89977,0.0039,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1941.64,1.9764,0.36717,0.60042,0.97878,0.00301,0.01017,0.84077,0.61177,0.68351,0.36619,0,0,0,0,1.83954,0,4.2172,0.90009,0.00391,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2029.88,1.99002,0.37272,0.60768,0.98099,0.00294,0.01586,0.84754,0.61659,0.68908,0.36963,0,0,0,0,1.83853,0,4.15621,0.8776,0.0039,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2117.24,1.95395,0.36119,0.59708,0.96194,0.00291,0.00879,0.83891,0.62389,0.69465,0.37535,0,0,0,0,1.8189,0,4.23824,0.88496,0.00384,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2205.46,1.979,0.37199,0.60562,0.96399,0.00287,0.01834,0.84858,0.62381,0.69705,0.37971,0,0,0,0,1.80646,0,3.86271,0.86743,0.00379,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,2293.16,1.97449,0.35741,0.60012,0.96868,0.00291,0.01815,0.84825,0.61872,0.69437,0.37801,0,0,0,0,1.80943,0,3.82376,0.88014,0.00379,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,2381.93,1.95522,0.35619,0.5918,0.95408,0.00291,0,0.84369,0.6228,0.69601,0.37739,0,0,0,0,1.81201,0,4.68032,0.87489,0.00382,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,2469.26,1.94509,0.34168,0.59352,0.94828,0.00291,0.00662,0.84552,0.62875,0.69904,0.38011,0,0,0,0,1.80305,0,3.99556,0.8665,0.00378,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,2561.99,1.94872,0.35772,0.58174,0.93558,0.00282,0.01609,0.84834,0.62978,0.70226,0.38047,0,0,0,0,1.80607,0,4.61828,0.85995,0.00378,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
